ID,sex,age,max_rating,current_rating,hours_in_game,games_week,pas01,pas02,pas03,pas04,pas05,pas06,pas07,pas08,pas09,rel01,rel02,rel03,rel04,rel05,rel06,rel07,rel08,rel09,rel10,rel11,rel12,rel13,heroes_3,age_group,pas_total
50,М,19,3020,2675,400,1-5 игр (по выходным чисто пару каток),1,2,3,1,1,1,1,4,1,3,5,1,3,1,3,2,2,5,5,2,5,5,"Лега, 57 игр, 61%
Пангольер, 55 игр, 41%
ЦК, 51 игра, 77%",18-20 лет,15
51,М,18,2990,2350,1500,6-10 игр (пару дней в неделю стабильно-дота),3,1,2,5,1,4,2,3,1,5,2,4,2,3,4,3,3,4,4,3,4,4,"Варлок, 86 игр,59,3% ; дазл, 67 игр, 59% ; визаж, 65 игр, 73,85%",18-20 лет,22
52,М,21,3200,2970,4000,1-5 игр (по выходным чисто пару каток),2,2,2,4,3,2,1,3,2,4,4,1,1,5,4,2,2,4,5,5,2,1,Баланар 120 игр 68%; Пудж 50 игр 70%; Бара 40 игр 70%,21-29 лет,21
53,М,25,4600,4400,6000,6-10 игр (пару дней в неделю стабильно-дота),3,1,3,4,1,4,2,5,3,4,2,1,1,1,5,1,1,2,2,2,2,1,"Dark willow, 310 игр,  61%
Инвокер, 350 игр, 49%
Мипо, игр 200, 57% 
2 аккаунта с почти одинаковым ммр,  количество игр складывал. А винрейт брал с того акка,  где игр больше на одном герое. Пруфы есть)",21-29 лет,26
54,М,27,4200,3600,7000,6-10 игр (пару дней в неделю стабильно-дота),2,1,1,2,1,1,3,4,3,4,2,5,2,2,4,4,3,5,2,5,5,3,"Фурион,2000 игр,59% винрейт",21-29 лет,18
56,М,17,3590,3520,2312,6-10 игр (пару дней в неделю стабильно-дота),2,4,4,5,2,4,5,5,5,4,4,1,1,5,4,4,2,5,2,4,2,2,"//Чен, 114 игры, 55%// Андерлорд, 73 игры, 68%// Люкан 57 игр 63%//",17 лет или младше,36
57,М,18,1000,700,1200,11-20 игр (почти каждый день по несколько игр),3,3,4,4,2,1,2,5,3,3,3,1,1,2,5,4,3,4,3,3,4,5,"Вайпер, 157 игр, 48%; Инвокер, 112 игр 47%; Войд спирит, 104игры, 47%.",18-20 лет,27
58,М,15,7130,7130,3000,Больше 30 игр (по много пабликов каждый день),3,2,3,5,1,1,2,2,1,5,4,1,1,3,5,2,2,3,5,2,3,1,"Инвокер, 1700 игр, 59%. Висп, 470 игр, 63%. Рубик, 400 игр, 53%",17 лет или младше,20
59,М,20,2500,2000,3000,6-10 игр (пару дней в неделю стабильно-дота),2,3,2,5,1,1,5,5,4,5,1,1,1,3,5,2,3,3,3,2,4,3,"рубик 130 56%,дум 52 68%, зомби 54 52%",18-20 лет,28
61,М,26,6800,6200,15000,11-20 игр (почти каждый день по несколько игр),1,1,1,3,1,1,1,3,2,3,3,1,1,1,3,2,2,2,4,3,2,4,"инвокер, 467 игры, 58,46%
пудж, 382 игры, 60,99%
сларк, 286 игры, 65,38%",21-29 лет,14
62,М,19,2100,1347,3462,6-10 игр (пару дней в неделю стабильно-дота),3,1,4,5,2,4,3,2,4,5,2,1,1,2,4,4,3,3,3,5,4,5,"Оракл, 88 игр, 48%; Пудж 112 игры, 52%; ВРка, 145 игр, 62%",18-20 лет,28
63,М,15,790,790,890,Больше 30 игр (по много пабликов каждый день),1,3,1,4,1,1,1,5,1,5,3,1,1,1,5,5,1,1,3,1,1,5,"Течис, 66 игры, 53, 03%. Сайленсера, 38 игр, 68,42%.пудж,37 игр, 62,16%.",17 лет или младше,18
67,М,17,2300,2200,1500,11-20 игр (почти каждый день по несколько игр),1,3,3,5,2,2,5,4,3,5,1,1,1,5,5,2,1,1,3,2,1,1,"cф 113 игр 53%, шторм 104 игр 48%, джагернаут 71 игра 55%",17 лет или младше,28
68,М,14,1090,1090,1500,6-10 игр (пару дней в неделю стабильно-дота),1,1,1,3,1,1,3,3,1,4,4,1,2,3,1,3,2,5,1,3,2,1,"огр маг, 173 игры, 61,3%. цм, 87 игр, 56,3%. дазл, 86 игр, 57%.",17 лет или младше,15
69,М,25,3900,3540,3752,20-30 игр (каждый день по несколько игр),1,3,1,5,1,1,3,1,3,5,1,1,1,4,5,4,3,3,3,2,3,3,"котл 256 игры, 50%Э; джакиро 216,58%;апарат 167,61%",21-29 лет,19
72,М,20,2450,2010,5650,Больше 30 игр (по много пабликов каждый день),2,3,3,4,3,1,5,4,2,5,3,3,2,5,5,3,5,5,5,5,4,5,"Jugger 350 игр 54%, am 350 игр 53%, spectre 200 игр 61%",18-20 лет,27
74,М,15,3000,2930,2680,6-10 игр (пару дней в неделю стабильно-дота),1,2,1,2,3,4,1,3,5,4,4,4,2,4,4,4,3,5,3,4,4,4,"Тинкер, 52 игры, 57%. Скай, 80 игр, 60%. Ам 70 игр, 59%",17 лет или младше,22
75,М,13,250,170,880,11-20 игр (почти каждый день по несколько игр),2,3,1,4,1,3,1,3,1,5,2,3,2,4,4,3,3,4,4,5,4,1,"мипо 91 игра 54%, висаж 23 игры 82%, мк 34 игры 59%.",17 лет или младше,19
76,М,27,3500,1500,4000,11-20 игр (почти каждый день по несколько игр),2,1,1,4,2,2,1,1,1,4,2,2,1,4,4,4,3,4,5,4,3,2,"Пудж 300 50,5%, Мирана 150 52%",21-29 лет,15
77,М,17,2000,1100,1300,11-20 игр (почти каждый день по несколько игр),1,2,2,4,3,1,3,2,2,4,2,1,1,5,5,2,1,2,3,3,1,3,"Arc warden - 60, 50%
Huskar - 43, 50%
Templar Assassin - 45, 47%",17 лет или младше,20
78,М,16,0,0,190,20-30 игр (каждый день по несколько игр),2,3,3,2,4,2,1,5,4,4,3,1,1,1,3,4,3,4,2,3,4,5,"анти-маг, 18 игр, 50%: войд спирит, 17 игр, 41%: джагернаут, 10 игр, 70%:",17 лет или младше,26
79,М,24,1300,1000,3500,11-20 игр (почти каждый день по несколько игр),1,2,4,4,4,4,1,5,5,5,3,2,1,4,4,4,3,5,4,4,5,5,"Пудж, 251, 47,41%, фурион, 154, 50%, легионка, 122, 50%",21-29 лет,30
80,М,23,4200,3200,2100,1-5 игр (по выходным чисто пару каток),3,2,2,3,2,2,3,4,2,4,3,1,1,3,4,2,2,2,1,4,2,2,"Rubick, 110, 52.73%; Weaver, 44, 54.55%;Ogre Magi, 42, 54,76%",21-29 лет,23
81,М,26,3500,3000,8000,1-5 игр (по выходным чисто пару каток),3,2,3,4,1,3,2,3,3,4,2,2,1,3,4,3,3,5,4,5,3,3,пудж 244 46%; снайпер 181 51%; бх 167 62%,21-29 лет,24
82,Ж,17,1200,800,500,20-30 игр (каждый день по несколько игр),2,4,3,3,3,3,2,1,2,4,2,1,2,5,4,3,3,4,3,2,5,2,Сф 75 игр 46%  мипо 60 игр 51% разор 52игры 57%,17 лет или младше,23
83,М,26,3500,2800,6000,11-20 игр (почти каждый день по несколько игр),2,2,3,1,2,2,1,4,1,4,4,2,1,1,2,4,3,4,3,3,3,4,"Оракл, 357 игр, 48%
Дизраптор, 264 игры, 52%
Дазл, 242 игры, 55%",21-29 лет,18
85,М,31,1700,1280,3000,1-5 игр (по выходным чисто пару каток),2,2,1,4,1,1,3,3,4,5,3,1,1,3,5,3,2,4,1,4,3,3,"Viper - 339 игр, 56.34%; Storm Spirit, 167 игр, 54, 76%; Jakiro, 56 игр, 50%.",30-39 лет,21
86,М,21,3800,2900,9000,Больше 30 игр (по много пабликов каждый день),3,5,3,4,1,2,3,5,3,5,2,2,1,4,5,2,1,1,4,4,1,1,"Дум 243 игры,54 %
Абадон 209 игр, 44%
Кентавр 113 игр, 53%",21-29 лет,29
